F1,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
5059,3924092,12,40.77595,-73.97966,2,225,296,7,30,0.69,152
6636,5127131,12,40.72982,-73.98316,2,185,298,7,26,0.45,0
4653,3587219,12,40.73002,-74.00653,2,200,299,7,22,1.12,49
1701,811347,12,40.73713,-74.00232,2,240,306,7,7,0.09,64
24291,20871641,12,40.76117,-73.96104,2,150,309,7,9,0.8,58
13052,10537651,12,40.81306,-73.94141,2,90,313,7,13,0.32,5
32844,28459032,12,40.74197,-73.98012,2,145,314,7,2,0.17,63
18486,15854348,12,40.71454,-73.99271,2,300,330,7,65,1.73,65
28483,23855529,12,40.80077,-73.9551,2,200,331,7,4,0.32,64
1452,703745,12,40.72225,-73.98496,2,130,333,7,11,0.13,0
22159,19249099,12,40.74195,-74.00052,2,140,334,7,52,1.75,0
30159,25780953,12,40.73492,-74.00418,2,190,334,7,7,0.51,91
35541,30533273,12,40.83658,-73.94088,2,55,341,7,5,0.45,0
25091,21397638,12,40.71954,-73.98914,2,250,342,7,7,0.29,0
20509,17735101,12,40.7606,-73.99345,2,150,345,7,8,0.25,0
4712,3629381,12,40.77242,-73.96212,2,250,348,7,3,0.06,0
1833,856440,12,40.76616,-73.98411,2,176,348,7,33,0.39,0
32651,28284019,12,40.79916,-73.93959,2,125,349,7,5,0.34,0
28304,23683924,12,40.71353,-73.99925,2,220,349,7,6,0.29,12
31371,27052657,12,40.77997,-73.95214,2,99,349,7,34,2.13,167
9208,7561847,12,40.82112,-73.94962,2,150,352,7,8,0.16,0
33122,28751660,12,40.76591,-73.99493,2,300,352,7,5,0.35,12
30663,26305529,12,40.83291,-73.94042,2,219,353,7,7,0.42,0
22976,19862892,12,40.83286,-73.94135,2,100,356,7,10,0.34,2
27426,22752094,12,40.77418,-73.95327,2,275,359,7,10,0.49,0
17198,14437093,12,40.72397,-73.98329,2,129,360,7,10,0.25,0
29558,25012966,12,40.71339,-73.98684,2,139,363,7,56,3.02,0
20982,18255124,12,40.73957,-73.98233,2,168,364,7,10,0.31,0
12298,9919728,26,40.71578,-73.87713,2,250,4,7,5,0.11,357
21331,18586873,146,40.75898,-73.99035,2,90,67,7,26,0.84,301
1531,745037,146,40.76412,-73.97666,2,170,108,7,90,1.06,242
14528,12403816,146,40.76058,-73.99603,2,165,172,7,143,3.26,138
29474,24935780,146,40.76189,-73.98991,2,185,240,7,30,1.61,0
17444,14745847,146,40.75797,-73.97004,2,150,244,7,35,0.9,98
33713,29320834,146,40.75936,-73.96795,2,179,274,7,2,0.16,12
29037,24449621,146,40.75775,-73.97956,2,300,296,7,17,0.88,65
26224,21997804,146,40.76691,-73.98545,2,150,306,7,1,0.04,0
8461,6939719,146,40.76497,-73.98848,2,300,349,7,8,0.19,0
20103,17269342,146,40.76269,-73.99139,2,185,354,7,25,0.76,77
30691,26335893,146,40.75786,-73.96679,2,200,359,7,8,0.52,0
29171,24607763,171,40.60909,-73.97155,2,200,199,7,32,1.71,355
1527,742026,110,40.7229,-73.99574,2,199,297,7,70,0.82,167
13191,10726217,110,40.72239,-73.99618,2,175,355,7,19,0.45,25
7590,6252815,112,40.66936,-73.98116,2,150,102,7,52,0.96,218
25092,21398486,112,40.67587,-73.9793,2,165,191,7,9,0.37,150
2028,1013648,112,40.67541,-73.9784,2,225,207,7,8,0.1,219
7950,6544347,112,40.67289,-73.97129,2,150,268,7,6,0.11,133
